model,MAE,MSE,RMSE,R2
random_forest,0.7374432280072681,0.9019240665574495,0.9496968287603416,0.042356594395594804
baseline_mean,0.7593834118680465,0.9418180692114667,0.9704731161714202,-1.9920767739822764e-06
