,precision,recall,f1-score,support
Business,0.04096385542168675,0.68,0.07727272727272727,125.0
Couples,0.5375505488157135,0.43038852913968545,0.47803750321089133,4324.0
Family,0.47702799712849964,0.43674005915215247,0.4559958826556871,3043.0
Friends,0.39267886855241263,0.107811786203746,0.16917562724014337,2189.0
Solo,0.1618531889290012,0.2972375690607735,0.20958317101675106,905.0
accuracy,0.35707538258076704,0.35707538258076704,0.35707538258076704,0.35707538258076704
macro avg,0.3220148917694628,0.3904355887112715,0.27801298227924004,10586.0
weighted avg,0.4522139079454806,0.35707538258076704,0.38015179893378753,10586.0
