model,accuracy,macro_precision,macro_recall,macro_f1
random_forest_balanced,0.35707538258076704,0.3220148917694628,0.3904355887112715,0.27801298227924004
baseline_most_frequent,0.40846400906858116,0.08169280181371623,0.2,0.11600268276324614
